Fecha,Producto,Region,Ventas,Precio
2024-01-01,Tablet,Centro,192,45
2024-01-02,Smartphone,Centro,126,33
2024-01-03,Televisor,Norte,291,76
2024-01-04,Televisor,Norte,205,56
2024-01-05,Smartphone,Centro,43,77
2024-01-06,Televisor,Centro,61,40
2024-01-07,Laptop,Centro,121,88
2024-01-08,Laptop,Oeste,261,22
2024-01-09,Smartphone,Centro,91,56
2024-01-10,Laptop,Norte,241,68
2024-01-11,Laptop,Oeste,236,38
2024-01-12,Tablet,Centro,242,31
2024-01-13,Tablet,Norte,230,80
2024-01-14,Laptop,Oeste,445,60
2024-01-15,Smartphone,Centro,422,52
2024-01-16,Tablet,Centro,431,69
2024-01-17,Televisor,Centro,51,87
2024-01-18,Televisor,Oeste,30,90
2024-01-19,Televisor,Norte,51,52
2024-01-20,Smartphone,Norte,406,43
2024-01-21,Laptop,Sur,122,80
2024-01-22,Televisor,Centro,114,80
2024-01-23,Smartphone,Sur,201,47
2024-01-24,Tablet,Sur,26,77
2024-01-25,Laptop,Norte,129,62
2024-01-26,Tablet,Oeste,402,60
2024-01-27,Smartphone,Oeste,434,58
2024-01-28,Televisor,Norte,138,68
2024-01-29,Televisor,Oeste,139,36
2024-01-30,Smartphone,Sur,69,89
2024-01-31,Televisor,Centro,57,89
2024-02-01,Laptop,Norte,38,84
2024-02-02,Smartphone,Centro,106,93
2024-02-03,Tablet,Oeste,19,24
2024-02-04,Smartphone,Centro,251,21
2024-02-05,Laptop,Oeste,323,41
2024-02-06,Laptop,Oeste,453,76
2024-02-07,Smartphone,Sur,241,85
2024-02-08,Smartphone,Oeste,286,93
2024-02-09,Televisor,Sur,293,35
2024-02-10,Laptop,Sur,212,70
2024-02-11,Smartphone,Sur,256,58
2024-02-12,Smartphone,Norte,299,95
2024-02-13,Laptop,Norte,273,59
2024-02-14,Smartphone,Oeste,452,57
2024-02-15,Televisor,Sur,223,79
2024-02-16,Laptop,Norte,209,78
2024-02-17,Televisor,Sur,442,29
2024-02-18,Televisor,Centro,88,83
2024-02-19,Televisor,Centro,410,82
2024-02-20,Televisor,Centro,453,68
2024-02-21,Laptop,Oeste,352,83
